Название культуры,Ареалы,Субъект,Тип почвы,Наличие в красной книге,Период посева,Период сбора,Содержание в лекарствах
АДЕНОСТИЛЕС РОМБОЛИСТНЫЙ,"Ареалы произрастания аденостилеса ромболистного включают Северный Кавказ, Малую Азию, Азербайджан, Армению и Грузию. Он растет вдоль Главного Кавказского хребта, его боковых отрогов, а также южных склонов Большого Кавказского хребта и большинства гор Малого Кавказа.","Аденостилес растет в субъектах РФ, входящих в состав Кавказа: Краснодарский край, Ставропольский край, Республика Адыгея, Карачаево-Черкесская Республика, Кабардино-Балкарская Республика, Северная Осетия-Алания, Ингушетия, Чеченская Республика и Дагестан.","Для Аденостилес нужны бурые горно-лесные и горно-луговые почвы, регулярное увлажнение, предпочтение склонам северной экспозиции. Растет в древесно-кустарниковых зонах, полянах, опушках и субальпийских лугах.",Нет.,Период посева для Аденостилес ромболистный - весна (март-апрель).,Период сбора Аденостилес ромболистный - с июля по сентябрь.,"Аденостилес ромболистный: Аспирин 20%, Мукалтин 30%."
АИР ОБЫКНОВЕННЫЙ,"Ареалы произрастания аира включают три фрагмента: два в России и один в Азии. В России аир произрастает в Европейской части, в дельте Волги и на Кавказе. Азиатский фрагмент ареала охватывает Западную и Восточную Сибирь, а также Дальний Восток. В мире A. calamus встречается в Индии, по всей Европе, Малой Азии, в Китае, Японии, Бирме, Шри-Ланке и на севере США.","Аир обыкновенный растет в степной зоне России, а также имеет отдельные местонахождения за пределами степей. Однако конкретные субъекты РФ не указаны в тексте.","Аир обыкновенный предпочитает иловые и аллювиальные почвы, полупогруженные в воду. Растет в стоячих и медленно текущих водах, заболоченных участках, автотрофных болотах. Чувствителен к изменению гидрологического режима. Смешанные заросли аира включают 3-5 доминирующих растений верхнего яруса и множество других видов в среднем и нижнем ярусах.",Да.,"Период посева аира обыкновенного - весна, март-апрель.",Сбор Аира обыкновенного проводится в период с июля по сентябрь.,"АИР ОБЫКНОВЕННЫЙ: Аспирин 10%, Мукалтин 50%."
АЛОЭ ДРЕВОВИДНОЕ,"Ареалы произрастания алоэ: Южная Африка, восточное побережье Африки, Америка, Антильские острова, Россия (Белгородская и Самарская области), комнатная культура.",Алое древовидное не растет в РФ.,"Для алое древовидного необходима каменистая, хорошо дренированная почва с достаточной влажностью для роста сочных листьев. Также растение любит свет и тепло.",Нет.,Период посева для Алоэ древовидного - весна-начало лета.,"Сбор листьев алоэ древовидного обычно проводится в течение осени и зимы, когда растение в состоянии покоя.","Алоэ древовидное: Вода 95%, Салициловая кислота 0.5%, Аминокислоты 4%."
АЛТЕЙ ЛЕКАРСТВЕННЫЙ,"Ареалы произрастания алтея лекарственного: европейская и сибирская части. Растет в степной и лесостепной зонах европейской части России, юге Западной Сибири, некоторых районах Кавказа. Северная граница ареала совпадает с северной границей лесостепной зоны, южная граница ареала в европейской части совпадает с государственной границей России. Северная граница сибирской части ареала проходит между 55° и 56° параллелями с.ш. Западная граница огибает с запада Омск и спускается на юго-восток до границы с Казахстаном. Южная граница ареала проходит по государственной границе России.","Алтей лекарственный растет в следующих субъектах РФ: 

1. Европейская часть России (степная и лесостепная зоны);
2. Юг Западной Сибири;
3. Некоторые районы Кавказа.","Алтей лекарственный предпочитает сыроватые, солонцеватые почвы с достаточным уровнем влаги.",Нет.,Период посева алтея лекарственного - весна (апрель-май) или осень (сентябрь-октябрь).,"Сбор корней алтея лекарственного проводится осенью, а сбор листьев и цветков - летом.","АЛТЕЙ ЛЕКАРСТВЕННЫЙ: Экстракт алтея 20%, Сироп алтея 40%."
АММИ БОЛЬШАЯ,"Ареалы произрастания амми большой: Северная Африка, европейское побережье Средиземного моря, Россия (от Краснодарского края до Поволжья), Крым.","К сожалению, в тексте не указаны конкретные субъекты РФ, где растет амми большая. Однако, учитывая его предпочтение к пустыням, сухим склонам и пескам, можно предположить, что амми большая может расти в таких субъектах РФ, как Астраханская область, Калмыкия, Ростовская область, Волгоградская область и других регионах с аридным климатом.","Амми большая предпочитает нейтральные, засухоустойчивые почвы и избегает переувлажнения или застоя воды.",Да.,Период посева Амми Большая - весна (март-апрель) или осень (сентябрь-октябрь).,Период сбора Амми Большая - июнь-сентябрь.,"АММИ БОЛЬШАЯ: Азот 40%, Минералы 30%, Моцион 20%, Ил 10%."
АММИ ЗУБНАЯ,"Ареалы произрастания: Южная Европа, Передняя Азия, Северная и Северо-Западная Африка, Кавказ, Ставропольский край (заносное).","Из текста нельзя определить субъекты РФ, где растет амми зубная.","Амми зубная предпочитает легкие, средние и тяжелые почвы с небольшим количеством питательных веществ. Также растет на засоленных почвах. Важно избегать избыточной влажности воздуха в период цветения.",Нет.,"Период посева для АММИ ЗУБНАЯ - весна, с марта по апрель.",Период сбора для растения АММИ ЗУБНАЯ - июль-август.,"АММИ ЗУБНАЯ: Аспирин 0%, Мукалтин 0%."
АНИС ОБЫКНОВЕННЫЙ,"Ареалы произрастания аниса обыкновенного: Малая Азия, Египет, страны Восточного Средиземноморья. В России - в культуре.","Башкортостан, Белгородская область, Воронежская область, Курская область, Липецкая область, Краснодарский край.","Анису необходима плодородная, хорошо дренированная почва с нейтральным или слабощелочным реакцией (pH 6.0-7.5).",Нет.,Для Аниса обыкновенного период посева - апрель-май.,Период сбора аниса обыкновенного - июль-август.,"Анис обыкновенный: Эфирное масло 2-6%, Анетол 80-90%."
АРАЛИЯ ВЫСОКАЯ,"Ареалы произрастания аралии высокой: южная часть Хабаровского края, юго-восток Амурской области, Приморский край, Еврейская автономная область, южная часть Сахалина, Курильские острова (Шикотан, Итуруп, Кунашир). Северная граница ареала: 49-50°с.ш., на Сахалине до 48°с.ш.","Приморский край, Курильские острова (Кунашир, Шикотан).","Аралии требуются богатые, хорошо увлажненные почвы, особенно в кедрово-широколиственных лесах и на Курильских островах.",Да.,Период посева для Аралии высокой - весна (март-апрель).,Сбор Аралии высокой обычно происходит в августе-сентябре.,"Аспирин 0%, Мукалтин 0%."
АРНИКА ГОРНАЯ,"Ареалы произрастания арники горной: южная часть Скандинавского полуострова, Средняя и Атлантическая Европа, северная часть Средиземноморья, восточная Европа (до верхнего течения Днепра). В России не встречается.","В тексте не указаны конкретные субъекты РФ, где растет данное растение. Однако, учитывая его описание, можно предположить, что арника горная может произрастать в горных и лесных районах средней полосы России, таких как Московская, Ленинградская, Тверская области, а также в республиках, расположенных на Кавказе и Урале, например, Кабардино-Балкария, Северная Осетия, Башкортостан и Свердловская область.","Арника требует влажных, но не заболоченных почв с рН 4-5, таких как субальпийские, горно-луговые и дерново-подзолистые, глинистые и глинисто-щебнистые. Она предпочитает районы с высокой влажностью воздуха и светолюбива.",Да.,Период посева для Арники горной обычно с февраля по апрель в помещении или с апреля по июнь на открытом грунте.,"Период сбора для Арника горная - лето, обычно июль-август.","Арника горная: Гелианолиды 0.2-0.8%, Флавоноиды 0.5-1%."
АРНИКА ШАМИССО,"Ареалы произрастания A. foliosa: Северная Америка, Канада (Альберта, Британская Колумбия, Квебек, Онтарио, Саскачеван, Северо-Западные территории, Юкон), США (Аляска, Аризона, Калифорния, Колорадо, Орегон, Айдахо, Нью-Мексико, Невада, Юта, Монтана, Вашингтон, Вайоминг).",Растение не растет в РФ.,"Для арники облиственной подходят суглинистые, черноземные, серые лесные и дерново-подзолистые почвы.",Нет.,"Период посева арники Шамиссо - весна, март-апрель.",Период сбора арники Шамиссо обычно приходится на июнь-сентябрь.,"Арника Шамиссо: Аспирин 5%, Мукалтин 40%."
